scenario_seed,phase_error_s,planner,total_time_s,flight_distance_m,max_blackout_s,meets_90s_budget,mission_feasible,planning_runtime_ms,route
707,10.0,protocol_aware,1867.257,2715.08,226.541,0,0,403.372,N01 -> N10 -> N03 -> N14 -> N12 -> N02 -> N13 -> N07 -> N04 -> N05 -> N08 -> N06 -> N11 -> N09
707,10.0,bounded_blackout,1627.521,3464.921,229.915,0,0,2147.587,N04 -> N11 -> N07 -> N12 -> N01 -> N10 -> N14 -> N02 -> N08 -> N13 -> N03 -> N06 -> N05 -> N09
707,20.0,distance_only,2057.211,2468.434,200.049,0,0,0.021,N07 -> N02 -> N06 -> N11 -> N04 -> N08 -> N14 -> N03 -> N10 -> N09 -> N01 -> N05 -> N13 -> N12
707,20.0,protocol_aware,1863.189,2715.08,213.501,0,0,403.372,N01 -> N10 -> N03 -> N14 -> N12 -> N02 -> N13 -> N07 -> N04 -> N05 -> N08 -> N06 -> N11 -> N09
707,20.0,bounded_blackout,1633.545,3464.921,229.887,0,0,2147.587,N04 -> N11 -> N07 -> N12 -> N01 -> N10 -> N14 -> N02 -> N08 -> N13 -> N03 -> N06 -> N05 -> N09
707,30.0,distance_only,2299.935,2468.434,214.912,0,0,0.021,N07 -> N02 -> N06 -> N11 -> N04 -> N08 -> N14 -> N03 -> N10 -> N09 -> N01 -> N05 -> N13 -> N12
707,30.0,protocol_aware,1637.225,2715.08,199.787,0,0,403.372,N01 -> N10 -> N03 -> N14 -> N12 -> N02 -> N13 -> N07 -> N04 -> N05 -> N08 -> N06 -> N11 -> N09
707,30.0,bounded_blackout,1397.489,3464.921,83.253,1,1,2147.587,N04 -> N11 -> N07 -> N12 -> N01 -> N10 -> N14 -> N02 -> N08 -> N13 -> N03 -> N06 -> N05 -> N09
708,0.0,distance_only,1906.211,2533.243,223.209,0,0,0.022,N12 -> N04 -> N08 -> N02 -> N03 -> N11 -> N05 -> N07 -> N10 -> N01 -> N06 -> N14 -> N13 -> N09
708,0.0,protocol_aware,1178.15,3355.057,63.805,1,1,180.85,N02 -> N12 -> N03 -> N10 -> N08 -> N07 -> N14 -> N09 -> N13 -> N04 -> N05 -> N11 -> N01 -> N06
708,0.0,bounded_blackout,1178.15,3355.057,63.805,1,1,1240.816,N02 -> N12 -> N03 -> N10 -> N08 -> N07 -> N14 -> N09 -> N13 -> N04 -> N05 -> N11 -> N01 -> N06
708,2.0,distance_only,1907.081,2533.243,223.116,0,0,0.022,N12 -> N04 -> N08 -> N02 -> N03 -> N11 -> N05 -> N07 -> N10 -> N01 -> N06 -> N14 -> N13 -> N09
708,2.0,protocol_aware,1419.445,3355.057,151.638,0,1,180.85,N02 -> N12 -> N03 -> N10 -> N08 -> N07 -> N14 -> N09 -> N13 -> N04 -> N05 -> N11 -> N01 -> N06
